2026-04-10 09:55:53 | DEBUG   | mail_municipalities.provider_classification.classifier:_rule_confidence:131 | rule=mx_spf base=0.90 provider=ms365
2026-04-10 09:55:53 | DEBUG   | mail_municipalities.provider_classification.classifier:classify:336 | classify(3906.ch): provider=ms365 confidence=1.00 rule=mx_spf signals=17
2026-04-10 09:55:53 | INFO    | mail_municipalities.provider_classification.runner:run:180 | [1780/2110] 3906.ch: provider=ms365 confidence=1.00 signals=17
2026-04-10 09:55:53 | DEBUG   | mail_municipalities.provider_classification.classifier:_rule_confidence:131 | rule=mx_spf base=0.90 provider=ms365
2026-04-10 09:55:53 | DEBUG   | mail_municipalities.provider_classification.classifier:classify:336 | classify(st-niklaus.ch): provider=ms365 confidence=1.00 rule=mx_spf signals=17
2026-04-10 09:55:53 | INFO    | mail_municipalities.provider_classification.runner:run:180 | [1781/2110] st-niklaus.ch: provider=ms365 confidence=1.00 signals=17
2026-04-10 09:55:53 | DEBUG   | mail_municipalities.provider_classification.classifier:_rule_confidence:131 | rule=spf_gw base=0.70 provider=ms365
2026-04-10 09:55:53 | DEBUG   | mail_municipalities.provider_classification.classifier:classify:336 | classify(stalden.ch): provider=ms365 confidence=0.72 rule=spf_gw signals=6
2026-04-10 09:55:53 | INFO    | mail_municipalities.provider_classification.runner:run:180 | [1782/2110] stalden.ch: provider=ms365 confidence=0.72 signals=6
2026-04-10 09:55:53 | DEBUG   | mail_municipalities.provider_classification.classifier:_rule_confidence:131 | rule=mx_spf base=0.90 provider=ms365
2026-04-10 09:55:53 | DEBUG   | mail_municipalities.provider_classification.classifier:classify:336 | classify(graechen.ch): provider=ms365 confidence=1.00 rule=mx_spf signals=20
2026-04-10 09:55:53 | INFO    | mail_municipalities.provider_classification.runner:run:180 | [1783/2110] graechen.ch: provider=ms365 confidence=1.00 signals=20
2026-04-10 09:55:53 | DEBUG   | mail_municipalities.provider_classification.classifier:_rule_confidence:131 | rule=mx_spf base=0.90 provider=ms365
2026-04-10 09:55:53 | DEBUG   | mail_municipalities.provider_classification.classifier:classify:336 | classify(toerbel.ch): provider=ms365 confidence=1.00 rule=mx_spf signals=14
2026-04-10 09:55:53 | INFO    | mail_municipalities.provider_classification.runner:run:180 | [1784/2110] toerbel.ch: provider=ms365 confidence=1.00 signals=14
2026-04-10 09:55:53 | DEBUG   | mail_municipalities.provider_classification.classifier:_rule_confidence:131 | rule=mx_spf base=0.90 provider=ms365
2026-04-10 09:55:53 | DEBUG   | mail_municipalities.provider_classification.classifier:classify:336 | classify(staldenried.ch): provider=ms365 confidence=1.00 rule=mx_spf signals=15
2026-04-10 09:55:53 | INFO    | mail_municipalities.provider_classification.runner:run:180 | [1785/2110] staldenried.ch: provider=ms365 confidence=1.00 signals=15
2026-04-10 09:55:53 | DEBUG   | mail_municipalities.provider_classification.classifier:_rule_confidence:131 | rule=mx_spf base=0.90 provider=ms365
2026-04-10 09:55:53 | DEBUG   | mail_municipalities.provider_classification.classifier:classify:336 | classify(visp.ch): provider=ms365 confidence=0.98 rule=mx_spf signals=13
2026-04-10 09:55:53 | INFO    | mail_municipalities.provider_classification.runner:run:180 | [1786/2110] visp.ch: provider=ms365 confidence=0.98 signals=13
2026-04-10 09:55:53 | DEBUG   | mail_municipalities.provider_classification.classifier:_rule_confidence:131 | rule=mx_spf base=0.90 provider=ms365
2026-04-10 09:55:53 | DEBUG   | mail_municipalities.provider_classification.classifier:classify:336 | classify(taesch.ch): provider=ms365 confidence=1.00 rule=mx_spf signals=16
2026-04-10 09:55:53 | INFO    | mail_municipalities.provider_classification.runner:run:180 | [1787/2110] taesch.ch: provider=ms365 confidence=1.00 signals=16
