2026-04-10 12:50:26 | DEBUG   | mail_municipalities.provider_classification.classifier:classify:335 | classify(st-oswald-freistadt.ooe.gv.at): provider=domestic confidence=0.80 rule=dom_mx_spf signals=4
2026-04-10 12:50:26 | INFO    | mail_municipalities.provider_classification.runner:run:180 | [ 960/2092] st-oswald-freistadt.ooe.gv.at: provider=domestic confidence=0.80 signals=4
2026-04-10 12:50:26 | DEBUG   | mail_municipalities.provider_classification.classifier:_rule_confidence:132 | rule=spf_gw base=0.70 provider=ms365
2026-04-10 12:50:26 | DEBUG   | mail_municipalities.provider_classification.classifier:classify:335 | classify(tragwein.ooe.gv.at): provider=ms365 confidence=0.76 rule=spf_gw signals=8
2026-04-10 12:50:26 | INFO    | mail_municipalities.provider_classification.runner:run:180 | [ 961/2092] tragwein.ooe.gv.at: provider=ms365 confidence=0.76 signals=8
2026-04-10 12:50:26 | DEBUG   | mail_municipalities.provider_classification.classifier:_rule_confidence:132 | rule=spf_gw base=0.70 provider=ms365
2026-04-10 12:50:26 | DEBUG   | mail_municipalities.provider_classification.classifier:classify:335 | classify(unterweissenbach.ooe.gv.at): provider=ms365 confidence=0.76 rule=spf_gw signals=6
2026-04-10 12:50:26 | INFO    | mail_municipalities.provider_classification.runner:run:180 | [ 962/2092] unterweissenbach.ooe.gv.at: provider=ms365 confidence=0.76 signals=6
2026-04-10 12:50:26 | DEBUG   | mail_municipalities.provider_classification.classifier:_rule_confidence:132 | rule=spf_gw base=0.70 provider=ms365
2026-04-10 12:50:26 | DEBUG   | mail_municipalities.provider_classification.classifier:classify:335 | classify(unterweitersdorf.ooe.gv.at): provider=ms365 confidence=0.76 rule=spf_gw signals=6
2026-04-10 12:50:26 | INFO    | mail_municipalities.provider_classification.runner:run:180 | [ 963/2092] unterweitersdorf.ooe.gv.at: provider=ms365 confidence=0.76 signals=6
2026-04-10 12:50:27 | DEBUG   | mail_municipalities.provider_classification.classifier:_rule_confidence:132 | rule=spf_gw base=0.70 provider=ms365
2026-04-10 12:50:27 | DEBUG   | mail_municipalities.provider_classification.classifier:classify:335 | classify(wartberg-aist.ooe.gv.at): provider=ms365 confidence=0.76 rule=spf_gw signals=7
2026-04-10 12:50:27 | INFO    | mail_municipalities.provider_classification.runner:run:180 | [ 964/2092] wartberg-aist.ooe.gv.at: provider=ms365 confidence=0.76 signals=7
2026-04-10 12:50:27 | DEBUG   | mail_municipalities.provider_classification.classifier:_rule_confidence:132 | rule=spf_gw base=0.70 provider=ms365
2026-04-10 12:50:27 | DEBUG   | mail_municipalities.provider_classification.classifier:classify:335 | classify(waldburg.ooe.gv.at): provider=ms365 confidence=0.76 rule=spf_gw signals=6
2026-04-10 12:50:27 | INFO    | mail_municipalities.provider_classification.runner:run:180 | [ 965/2092] waldburg.ooe.gv.at: provider=ms365 confidence=0.76 signals=6
2026-04-10 12:50:27 | DEBUG   | mail_municipalities.provider_classification.classifier:_rule_confidence:132 | rule=spf_gw base=0.70 provider=ms365
2026-04-10 12:50:27 | DEBUG   | mail_municipalities.provider_classification.classifier:classify:335 | classify(altmuenster.ooe.gv.at): provider=ms365 confidence=0.76 rule=spf_gw signals=6
2026-04-10 12:50:27 | INFO    | mail_municipalities.provider_classification.runner:run:180 | [ 966/2092] altmuenster.ooe.gv.at: provider=ms365 confidence=0.76 signals=6
2026-04-10 12:50:27 | DEBUG   | mail_municipalities.provider_classification.classifier:_rule_confidence:132 | rule=spf_gw base=0.70 provider=ms365
2026-04-10 12:50:27 | DEBUG   | mail_municipalities.provider_classification.classifier:classify:335 | classify(windhaag-freistadt.ooe.gv.at): provider=ms365 confidence=0.76 rule=spf_gw signals=6
2026-04-10 12:50:27 | INFO    | mail_municipalities.provider_classification.runner:run:180 | [ 967/2092] windhaag-freistadt.ooe.gv.at: provider=ms365 confidence=0.76 signals=6
2026-04-10 12:50:27 | DEBUG   | mail_municipalities.provider_classification.classifier:_rule_confidence:132 | rule=spf_gw base=0.70 provider=ms365
2026-04-10 12:50:27 | DEBUG   | mail_municipalities.provider_classification.classifier:classify:335 | classify(bad-zell.ooe.gv.at): provider=ms365 confidence=0.76 rule=spf_gw signals=6
2026-04-10 12:50:27 | INFO    | mail_municipalities.provider_classification.runner:run:180 | [ 968/2092] bad-zell.ooe.gv.at: provider=ms365 confidence=0.76 signals=6
2026-04-10 12:50:27 | DEBUG   | mail_municipalities.provider_classification.classifier:_rule_confidence:132 | rule=spf_gw base=0.70 provider=ms365
2026-04-10 12:50:27 | DEBUG   | mail_municipalities.provider_classification.classifier:classify:335 | classify(weitersfelden.ooe.gv.at): provider=ms365 confidence=0.76 rule=spf_gw signals=6
2026-04-10 12:50:27 | INFO    | mail_municipalities.provider_classification.runner:run:180 | [ 969/2092] weitersfelden.ooe.gv.at: provider=ms365 confidence=0.76 signals=6
2026-04-10 12:50:27 | DEBUG   | mail_municipalities.provider_classification.classifier:_rule_confidence:132 | rule=spf_gw base=0.70 provider=ms365
2026-04-10 12:50:27 | DEBUG   | mail_municipalities.provider_classification.classifier:classify:335 | classify(gosau.ooe.gv.at): provider=ms365 confidence=0.76 rule=spf_gw signals=6
2026-04-10 12:50:27 | INFO    | mail_municipalities.provider_classification.runner:run:180 | [ 970/2092] gosau.ooe.gv.at: provider=ms365 confidence=0.76 signals=6
2026-04-10 12:50:27 | DEBUG   | mail_municipalities.provider_classification.classifier:_rule_confidence:132 | rule=spf_gw base=0.70 provider=ms365
2026-04-10 12:50:27 | DEBUG   | mail_municipalities.provider_classification.classifier:classify:335 | classify(stadtamt-badischl.at): provider=ms365 confidence=0.76 rule=spf_gw signals=6
2026-04-10 12:50:27 | INFO    | mail_municipalities.provider_classification.runner:run:180 | [ 971/2092] stadtamt-badischl.at: provider=ms365 confidence=0.76 signals=6
2026-04-10 12:50:27 | DEBUG   | mail_municipalities.provider_classification.classifier:_rule_confidence:132 | rule=spf_gw base=0.70 provider=ms365
2026-04-10 12:50:27 | DEBUG   | mail_municipalities.provider_classification.classifier:classify:335 | classify(gmunden.ooe.gv.at): provider=ms365 confidence=0.72 rule=spf_gw signals=8
2026-04-10 12:50:27 | INFO    | mail_municipalities.provider_classification.runner:run:180 | [ 972/2092] gmunden.ooe.gv.at: provider=ms365 confidence=0.72 signals=8
2026-04-10 12:50:27 | DEBUG   | mail_municipalities.provider_classification.classifier:_rule_confidence:132 | rule=spf_gw base=0.70 provider=ms365
2026-04-10 12:50:27 | DEBUG   | mail_municipalities.provider_classification.classifier:classify:335 | classify(gschwandt.ooe.gv.at): provider=ms365 confidence=0.76 rule=spf_gw signals=6
2026-04-10 12:50:27 | INFO    | mail_municipalities.provider_classification.runner:run:180 | [ 973/2092] gschwandt.ooe.gv.at: provider=ms365 confidence=0.76 signals=6
2026-04-10 12:50:27 | DEBUG   | mail_municipalities.provider_classification.classifier:_rule_confidence:132 | rule=spf_gw base=0.70 provider=ms365
2026-04-10 12:50:27 | DEBUG   | mail_municipalities.provider_classification.classifier:classify:335 | classify(gruenau.ooe.gv.at): provider=ms365 confidence=0.76 rule=spf_gw signals=6
2026-04-10 12:50:27 | INFO    | mail_municipalities.provider_classification.runner:run:180 | [ 974/2092] gruenau.ooe.gv.at: provider=ms365 confidence=0.76 signals=6
2026-04-10 12:50:27 | DEBUG   | mail_municipalities.provider_classification.classifier:_aggregate:256 | rule=gateway_no_primary (gateway blocks primary signals)
2026-04-10 12:50:27 | DEBUG   | mail_municipalities.provider_classification.classifier:classify:335 | classify(ebensee.ooe.gv.at): provider=unknown confidence=0.00 rule=gateway_no_primary signals=3
2026-04-10 12:50:27 | INFO    | mail_municipalities.provider_classification.runner:run:180 | [ 975/2092] ebensee.ooe.gv.at: provider=unknown confidence=0.00 signals=3
2026-04-10 12:50:27 | DEBUG   | mail_municipalities.provider_classification.classifier:_rule_confidence:132 | rule=mx_spf base=0.90 provider=ms365
2026-04-10 12:50:27 | DEBUG   | mail_municipalities.provider_classification.classifier:classify:335 | classify(bad-goisern.ooe.gv.at): provider=ms365 confidence=1.00 rule=mx_spf signals=14
2026-04-10 12:50:27 | INFO    | mail_municipalities.provider_classification.runner:run:180 | [ 976/2092] bad-goisern.ooe.gv.at: provider=ms365 confidence=1.00 signals=14
2026-04-10 12:50:27 | DEBUG   | mail_municipalities.provider_classification.classifier:_rule_confidence:132 | rule=spf_gw base=0.70 provider=ms365
2026-04-10 12:50:27 | DEBUG   | mail_municipalities.provider_classification.classifier:classify:335 | classify(kirchham.at): provider=ms365 confidence=0.76 rule=spf_gw signals=6
2026-04-10 12:50:27 | INFO    | mail_municipalities.provider_classification.runner:run:180 | [ 977/2092] kirchham.at: provider=ms365 confidence=0.76 signals=6
2026-04-10 12:50:27 | DEBUG   | mail_municipalities.provider_classification.classifier:_rule_confidence:132 | rule=spf_gw base=0.70 provider=ms365
2026-04-10 12:50:27 | DEBUG   | mail_municipalities.provider_classification.classifier:classify:335 | classify(hallstatt.ooe.gv.at): provider=ms365 confidence=0.76 rule=spf_gw signals=6
2026-04-10 12:50:27 | INFO    | mail_municipalities.provider_classification.runner:run:180 | [ 978/2092] hallstatt.ooe.gv.at: provider=ms365 confidence=0.76 signals=6
2026-04-10 12:50:27 | DEBUG   | mail_municipalities.provider_classification.classifier:_rule_confidence:132 | rule=spf_gw base=0.70 provider=ms365
2026-04-10 12:50:27 | DEBUG   | mail_municipalities.provider_classification.classifier:classify:335 | classify(ohlsdorf.ooe.gv.at): provider=ms365 confidence=0.76 rule=spf_gw signals=6
2026-04-10 12:50:27 | INFO    | mail_municipalities.provider_classification.runner:run:180 | [ 979/2092] ohlsdorf.ooe.gv.at: provider=ms365 confidence=0.76 signals=6
2026-04-10 12:50:27 | DEBUG   | mail_municipalities.provider_classification.classifier:_country_confidence:174 | rule=dom_mx_spf base=0.80
2026-04-10 12:50:27 | DEBUG   | mail_municipalities.provider_classification.classifier:_aggregate:225 | domestic MX override: rule=dom_mx_spf conf=0.80
2026-04-10 12:50:27 | DEBUG   | mail_municipalities.provider_classification.classifier:classify:335 | classify(laakirchen.ooe.gv.at): provider=domestic confidence=0.80 rule=dom_mx_spf signals=5
2026-04-10 12:50:27 | INFO    | mail_municipalities.provider_classification.runner:run:180 | [ 980/2092] laakirchen.ooe.gv.at: provider=domestic confidence=0.80 signals=5
2026-04-10 12:50:27 | DEBUG   | mail_municipalities.provider_classification.classifier:_rule_confidence:132 | rule=spf_gw base=0.70 provider=ms365
2026-04-10 12:50:27 | DEBUG   | mail_municipalities.provider_classification.classifier:classify:335 | classify(roitham.ooe.gv.at): provider=ms365 confidence=0.76 rule=spf_gw signals=6
2026-04-10 12:50:27 | INFO    | mail_municipalities.provider_classification.runner:run:180 | [ 981/2092] roitham.ooe.gv.at: provider=ms365 confidence=0.76 signals=6
2026-04-10 12:50:27 | DEBUG   | mail_municipalities.provider_classification.classifier:_rule_confidence:132 | rule=spf_gw base=0.70 provider=ms365
2026-04-10 12:50:27 | DEBUG   | mail_municipalities.provider_classification.classifier:classify:335 | classify(pinsdorf.ooe.gv.at): provider=ms365 confidence=0.76 rule=spf_gw signals=6
2026-04-10 12:50:27 | DEBUG   | mail_municipalities.provider_classification.classifier:_rule_confidence:132 | rule=spf_gw base=0.70 provider=ms365
2026-04-10 12:50:27 | DEBUG   | mail_municipalities.provider_classification.classifier:classify:335 | classify(obertraun.ooe.gv.at): provider=ms365 confidence=0.76 rule=spf_gw signals=6
2026-04-10 12:50:27 | INFO    | mail_municipalities.provider_classification.runner:run:180 | [ 982/2092] pinsdorf.ooe.gv.at: provider=ms365 confidence=0.76 signals=6
2026-04-10 12:50:27 | INFO    | mail_municipalities.provider_classification.runner:run:180 | [ 983/2092] obertraun.ooe.gv.at: provider=ms365 confidence=0.76 signals=6
2026-04-10 12:50:27 | DEBUG   | mail_municipalities.provider_classification.classifier:_rule_confidence:132 | rule=spf_gw base=0.70 provider=ms365
2026-04-10 12:50:27 | DEBUG   | mail_municipalities.provider_classification.classifier:classify:335 | classify(st-wolfgang.ooe.gv.at): provider=ms365 confidence=0.74 rule=spf_gw signals=5
2026-04-10 12:50:27 | INFO    | mail_municipalities.provider_classification.runner:run:180 | [ 984/2092] st-wolfgang.ooe.gv.at: provider=ms365 confidence=0.74 signals=5
2026-04-10 12:50:27 | DEBUG   | mail_municipalities.provider_classification.classifier:_rule_confidence:132 | rule=spf_gw base=0.70 provider=ms365
2026-04-10 12:50:27 | DEBUG   | mail_municipalities.provider_classification.classifier:classify:335 | classify(st-konrad.ooe.gv.at): provider=ms365 confidence=0.76 rule=spf_gw signals=6
2026-04-10 12:50:27 | INFO    | mail_municipalities.provider_classification.runner:run:180 | [ 985/2092] st-konrad.ooe.gv.at: provider=ms365 confidence=0.76 signals=6
2026-04-10 12:50:27 | DEBUG   | mail_municipalities.provider_classification.classifier:_country_confidence:174 | rule=dom_mx_spf base=0.80
2026-04-10 12:50:27 | DEBUG   | mail_municipalities.provider_classification.classifier:_aggregate:225 | domestic MX override: rule=dom_mx_spf conf=0.80
2026-04-10 12:50:27 | DEBUG   | mail_municipalities.provider_classification.classifier:classify:335 | classify(ooe.gv.at): provider=domestic confidence=0.80 rule=dom_mx_spf signals=8
2026-04-10 12:50:27 | INFO    | mail_municipalities.provider_classification.runner:run:180 | [1000/2092] ooe.gv.at: provider=domestic confidence=0.80 signals=8
2026-04-10 12:50:27 | DEBUG   | mail_municipalities.provider_classification.classifier:_rule_confidence:132 | rule=spf_gw base=0.70 provider=ms365
